FractureX[m],FractureY[m],FractureZ[m],Trend[deg],Plunge[deg],Strike[deg],DipAngle[deg],FractureRadius[m],Aperture[mm],Permeability[m2],Compressibility[1/kPa]
135.750133919,103.484736388,86.5697250664,341.5,13.5,71.5,76.5,20.4394,0.077761,4.55368e-12,0.0012
63.7344326255,82.8967186059,110.843274464,341.5,13.5,71.5,76.5,29.1287,0.0928301,5.93954e-12,0.0012
21.7632208742,77.4103879379,84.4272690117,341.5,13.5,71.5,76.5,20.2278,0.0773576,4.51829e-12,0.0012
106.686036833,81.9062858666,78.1610438327,341.5,13.5,71.5,76.5,79.2812,0.153149,1.25861e-11,0.0012
132.481406299,86.9862749821,94.8118413587,240,17,150,73,33.1515,0.099033,6.54469e-12,0.0012
52.478156177,71.2588961369,113.589581837,240,17,150,73,24.7117,0.0855027,5.25036e-12,0.0012
49.0994788088,45.1261751896,81.849845916,68.5,46,158.5,44,42.0236,0.1115,7.81865e-12,0.0012
139.854056446,111.113632465,132.884005258,68.5,46,158.5,44,23.5763,0.0835153,5.06837e-12,0.0012
125.379421639,118.025347655,45.8249333997,68.5,46,158.5,44,44.5523,0.114806,8.16892e-12,0.0012
133.177741138,109.475893919,151.806999236,111,4.99998,21,85,44.5451,0.114796,8.16792e-12,0.0012

