frac_P,frac_T,id,x,y,z
2.0498984385752,98.995457158186,0,0,0,0
2.0489004866235,98.511690838814,1,1,0,0
2.047902533667,97.871853749013,2,2,0,0
2.0469045801935,97.185659619832,3,3,0,0
2.0459066261932,96.489767321104,4,4,0,0
2.044908671656,95.793415557659,5,5,0,0
2.043910716572,95.106016876201,6,6,0,0
2.0429127609311,94.426266894697,7,7,0,0
2.0419148047235,93.755736362517,8,8,0,0
2.0409168479391,93.092628428653,9,9,0,0
2.0399188905679,92.438553048131,10,10,0,0
2.0389209326,91.791678859801,11,11,0,0
2.0379229740254,91.153655762968,12,12,0,0
2.0369250148341,90.522617014197,13,13,0,0
2.035927055016,89.900253214762,14,14,0,0
2.0349290945614,89.284661350608,15,15,0,0
2.0339311334601,88.67757350207,16,16,0,0
2.0329331717021,88.077049479513,17,17,0,0
2.0319352092776,87.484863639196,18,18,0,0
2.0309372461765,86.899037693889,19,19,0,0
2.0299392823888,86.321389092761,20,20,0,0
2.0289413179046,85.749900511484,21,21,0,0
2.0279433527138,85.186433329625,22,22,0,0
2.0269453868066,84.628930228309,23,23,0,0
2.0259474201728,84.079297375875,24,24,0,0
2.0249494528026,83.535436483057,25,25,0,0
2.023951484686,82.999299386621,26,26,0,0
2.0229535158129,82.468745832201,27,27,0,0
2.0219555461734,81.945774226325,28,28,0,0
2.0209575757575,81.428201335489,29,29,0,0
2.0199596045553,80.918073059413,30,30,0,0
2.0189616325567,80.413162151599,31,31,0,0
2.0179636597517,79.915562950912,32,32,0,0
2.0169656861304,79.423003143697,33,33,0,0
2.0159677116829,78.937626476874,34,34,0,0
2.0149697363991,78.457114494655,35,35,0,0
2.013971760269,77.983661344331,36,36,0,0
2.0129737832826,77.514901331694,37,37,0,0
2.0119758054301,77.053080020576,38,38,0,0
2.0109778267013,76.595783360223,39,39,0,0
2.0099798470864,76.145309371509,40,40,0,0
2.0089818665752,75.699194506643,41,41,0,0
2.007983885158,75.259790308853,42,42,0,0
2.0069859028246,74.824582569908,43,43,0,0
2.0059879195651,74.395977446003,44,44,0,0
2.0049899353695,73.971408881613,45,45,0,0
2.0039919502278,73.553338762315,46,46,0,0
2.0029939641301,73.139147974413,47,47,0,0
2.0019959770664,72.731355275605,48,48,0,0
2.0009979890266,72.327287258563,49,49,0,0
2.0000000000008,71.929520722689,50,50,0,0
1.999002009979,71.535326706381,51,51,0,0
1.9980040189513,71.147341247729,52,52,0,0
1.9970060269076,70.762778544443,53,53,0,0
1.996008033838,70.384335098225,54,54,0,0
1.9950100397325,70.009166953312,55,55,0,0
1.9940120445811,69.640032328455,56,56,0,0
1.9930140483738,69.274027774632,57,57,0,0
1.9920160511007,68.913974510173,58,58,0,0
1.9910180527517,68.556908225386,59,59,0,0
1.9900200533169,68.205714450399,60,60,0,0
1.9890220527863,67.857366619163,61,61,0,0
1.9880240511499,67.514815916121,62,62,0,0
1.9870260483977,67.174972094248,63,63,0,0
1.9860280445198,66.84085336574,64,64,0,0
1.9850300395062,66.509304348376,65,65,0,0
1.9840320333468,66.183411687097,66,66,0,0
1.9830340260318,65.85995337998,67,67,0,0
1.982036017551,65.542085941916,68,68,0,0
1.9810380078946,65.226519235784,69,69,0,0
1.9800399970526,64.916481116505,70,70,0,0
1.9790419850149,64.608611764569,71,71,0,0
1.9780439717716,64.306211878571,72,72,0,0
1.9770459573127,64.005850376985,73,73,0,0
1.9760479416282,63.710902339985,74,74,0,0
1.9750499247082,63.417863811235,75,75,0,0
1.9740519065427,63.130185825365,76,76,0,0
1.9730538871216,62.844289904505,77,77,0,0
1.972055866435,62.563704646325,78,78,0,0
1.9710578444729,62.284775369994,79,79,0,0
1.9700598212253,62.011109881257,80,80,0,0
1.9690617966823,61.738975579403,81,81,0,0
1.9680637708338,61.472061160508,82,82,0,0
1.9670657436699,61.206554350757,83,83,0,0
1.9660677151806,60.946226456816,84,84,0,0
1.965069685356,60.687183741421,85,85,0,0
1.9640716541859,60.433281880888,86,86,0,0
1.9630736216605,60.180543846188,87,87,0,0
1.9620755877697,59.932911481977,88,88,0,0
1.9610775525036,59.686322600319,89,89,0,0
1.9600795158522,59.444807053352,90,90,0,0
1.9590814778056,59.204215587398,91,91,0,0
1.9580834383536,58.968667942534,92,92,0,0
1.9570853974864,58.733925851904,93,93,0,0
1.9560873551939,58.504200866175,94,94,0,0
1.9550893114662,58.275163716369,95,95,0,0
1.9540912662933,58.051119729481,96,96,0,0
1.9530932196653,57.82764660302,97,97,0,0
1.952095171572,57.609145450052,98,98,0,0
1.9510971220036,57.391098859785,99,99,0,0
1.95009907095,57.178005786042,100,100,0,0
